"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"761",0,2.45936806871378,0.845,0.036,0,"5","IGFBP7"
"762",0,2.21864251460515,0.969,0.38,0,"5","CALD1"
"763",0,2.20259406002108,0.905,0.035,0,"5","S100A11"
"764",0,2.04207658283185,0.703,0.008,0,"5","CYP1B1"
"765",0,1.99705317397885,0.881,0.13,0,"5","TIMP1"
"766",0,1.90709610582345,0.727,0.034,0,"5","APOE"
"767",0,1.86540615894178,0.544,0.229,0,"5","MT2A"
"768",0,1.85648753072636,0.953,0.175,0,"5","SPARC"
"769",0,1.84056351162459,0.64,0.004,0,"5","APOD"
"770",0,1.81639993213186,0.7,0.081,0,"5","SFRP2"
"771",0,1.77907788559505,0.675,0.116,0,"5","NR2F1"
"772",0,1.76848236200611,0.694,0.121,0,"5","S100A6"
"773",0,1.75070407361845,0.73,0.026,0,"5","IFITM3"
"774",0,1.74121227263268,0.859,0.082,0,"5","TPM2"
"775",0,1.7040886845489,0.782,0.021,0,"5","PDGFRB"
"776",0,1.61303495599455,0.796,0.073,0,"5","PRRX1"
"777",0,1.58841101855048,0.595,0.033,0,"5","APCDD1"
"778",0,1.56570437172577,1,0.997,0,"5","TPT1"
"779",0,1.54691382428665,0.73,0.044,0,"5","IGFBP4"
"780",0,1.54262673747679,0.84,0.087,0,"5","ANXA2"
"781",0,1.542489418025,0.73,0.068,0,"5","COL4A1"
"782",0,1.54121237526895,0.782,0.004,0,"5","EDNRA"
"783",0,1.48941821736422,0.93,0.444,0,"5","ITGB1"
"784",0,1.48344276778074,0.681,0.068,0,"5","FN1"
"785",0,1.47691719676008,0.817,0.16,0,"5","COL4A2"
"786",0,1.45223098667379,0.683,0.005,0,"5","BGN"
"787",0,1.40485833711737,0.33,0.014,0,"5","DIO2"
"788",0,1.40358156194961,0.43,0.002,0,"5","OGN"
"789",0,1.38371426882732,0.624,0.04,0,"5","TIMP3"
"790",0,1.37940849045184,0.532,0.013,0,"5","ITM2A"
"791",0,1.37416363117013,0.974,0.534,0,"5","CD63"
"792",0,1.37151340928568,1,0.997,0,"5","RPS12"
"793",0,1.3353945612755,0.999,0.998,0,"5","RPS23"
"794",0,1.32669733025547,0.695,0.019,0,"5","PCDH18"
"795",0,1.295393796002,0.64,0.007,0,"5","TGFBI"
"796",0,1.24852500417918,0.911,0.619,0,"5","TCF4"
"797",0,1.24845997817345,0.88,0.623,0,"5","VCAN"
"798",0,1.23103128976672,0.997,0.982,0,"5","FTL"
"799",0,1.22918561395899,0.684,0.068,0,"5","NR2F2"
"800",0,1.22720693134631,1,0.999,0,"5","RPL10"
"801",0,1.22190239975902,1,0.985,0,"5","RPS6"
"802",0,1.21529633149489,0.488,0.007,0,"5","ITGA1"
"803",0,1.21272218492006,0.963,0.804,0,"5","IGFBP2"
"804",0,1.20613991128921,0.971,0.739,0,"5","HSP90B1"
"805",0,1.19716709989606,0.615,0.022,0,"5","FRZB"
"806",0,1.17990248667371,0.723,0.058,0,"5","GSN"
"807",0,1.17785876985802,0.668,0.428,0,"5","AKAP12"
"808",0,1.17210311091807,0.999,0.998,0,"5","RPS18"
